Symbol,Price,Type,Strike,Exp Date,DTE,Bid,Midpoint,Ask,Last,Volume,Open Int,Vol/OI,IV,Time
TSLA,334.96,Put,320,1/11/2019,4,2.69,2.78,2.86,2.82,4042,902,4.48,60.40%,1/7/2019
AAPL,147.93,Put,149,1/11/2019,4,2.7,2.8,2.89,2.88,2529,567,4.46,37.65%,1/7/2019
AMZN,1629.51,Call,1620,1/11/2019,4,34.5,35.2,35.9,35.07,2652,595,4.46,43.90%,1/7/2019
CTL,16.3,Call,16.5,1/18/2019,11,0.33,0.37,0.41,0.41,1242,279,4.45,43.80%,1/7/2019
NVDA,143.4,Call,141,1/11/2019,4,5.15,5.3,5.45,5.41,1407,319,4.41,68.57%,1/7/2019
KMI,16.59,Call,18,2/15/2019,39,0.1,0.11,0.11,0.1,1341,305,4.4,23.04%,1/7/2019
MAT,11.21,Call,10.5,1/11/2019,4,0.75,0.85,0.95,0.85,1320,301,4.39,87.20%,1/7/2019
AVGO,237.98,Call,245,1/18/2019,11,2.9,3.05,3.2,3.5,684,156,4.38,37.86%,1/7/2019
TSLA,334.96,Call,340,1/11/2019,4,5.35,5.53,5.7,5.6,5419,1238,4.38,55.49%,1/7/2019
LUV,47.87,Put,48,1/11/2019,4,0.8,0.85,0.9,0.83,537,123,4.37,38.55%,1/7/2019
BA,328.11,Call,332.5,1/11/2019,4,3,3.13,3.25,3.19,923,211,4.37,36.58%,1/7/2019
NVDA,143.4,Put,138,1/11/2019,4,1.73,1.81,1.88,1.65,1579,364,4.34,64.06%,1/7/2019
CGC,28.9,Put,30,2/15/2019,39,3.15,3.23,3.3,3.25,1061,247,4.3,71.06%,1/7/2019
GWW,277.13,Put,250,1/18/2019,11,0.7,0.95,1.2,0.9,1000,234,4.27,45.31%,1/7/2019
AAPL,147.93,Put,144,1/11/2019,4,0.91,0.94,0.97,0.94,6789,1594,4.26,39.84%,1/7/2019
SBUX,63.57,Put,63.5,1/11/2019,4,0.62,0.69,0.76,0.59,1926,460,4.19,23.91%,1/7/2019
NFLX,315.34,Call,350,1/11/2019,4,0.86,0.9,0.93,0.94,2252,538,4.19,71.62%,1/7/2019
