Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
WDC,38.11,Put,32.50,02/15/19,38,0.71,0.74,0.76,0.74,705,151,4.67,59.32%,01/08/19
PCG,17.56,Put,13.00,02/15/19,38,0.85,0.98,1.10,1.05,1098,235,4.67,142.94%,01/08/19
TXN,94.38,Call,97.50,02/15/19,38,2.41,2.5,2.59,2.40,1706,365,4.67,29.50%,01/08/19
NVS,86.72,Call,90.00,04/18/19,100,1.50,1.58,1.65,1.65,2021,434,4.66,14.90%,01/08/19
X,20.7,Call,25.00,07/19/19,192,1.29,1.32,1.34,1.37,1042,224,4.65,44.82%,01/08/19
AMZN,1656.58,Call,1720.00,01/11/19,3,4.80,5.03,5.25,5.05,2028,437,4.64,40.63%,01/08/19
V,136.8,Call,120.00,01/15/21,738,29.10,31.25,33.40,30.75,1150,249,4.62,22.90%,01/08/19
V,136.8,Call,138.00,01/11/19,3,0.83,0.86,0.89,0.89,1757,381,4.61,28.10%,01/08/19
T,31.28,Call,30.00,01/18/19,10,1.23,1.25,1.27,1.30,96265,20923,4.6,8.49%,01/08/19
GWPH,117.41,Put,115.00,05/17/19,129,12.70,13.6,14.50,14.50,600,131,4.58,59.57%,01/08/19
LB,28.2,Put,28.00,01/11/19,3,0.70,0.78,0.85,0.70,1114,245,4.55,78.66%,01/08/19
ROKU,40.88,Call,38.00,01/11/19,3,2.96,3.21,3.45,3.00,1525,335,4.55,63.72%,01/08/19
AMZN,1656.58,Put,1620.00,01/11/19,3,10.75,11.88,13.00,11.55,1144,252,4.54,43.82%,01/08/19
BMY,47.99,Call,52.50,05/17/19,129,2.16,2.26,2.35,2.31,5080,1125,4.52,33.66%,01/08/19
T,31.28,Call,27.50,01/18/19,10,3.65,3.75,3.85,3.60,2239,496,4.51,0.00%,01/08/19
CIEN,36.65,Call,40.00,01/15/21,738,5.70,5.98,6.25,5.93,599,133,4.5,30.70%,01/08/19
GM,34.81,Put,34.00,01/11/19,3,0.36,0.39,0.42,0.39,1390,309,4.5,58.45%,01/08/19
ADBE,232.68,Call,270.00,02/15/19,38,0.71,0.83,0.95,0.89,734,165,4.45,31.71%,01/08/19
ARQL,3.28,Call,5.00,04/18/19,100,0.15,0.25,0.35,0.29,1104,249,4.43,106.08%,01/08/19
VZ,58.38,Call,49.00,01/18/19,10,8.80,9.53,10.25,9.25,3360,762,4.41,0.00%,01/08/19
FB,142.53,Put,143.00,01/18/19,10,3.40,3.48,3.55,3.45,1175,267,4.4,34.71%,01/08/19
ROKU,40.88,Put,41.50,01/11/19,3,1.60,1.74,1.87,1.60,672,153,4.39,85.41%,01/08/19
STZ,172.34,Call,182.50,01/11/19,3,1.50,1.83,2.15,1.62,900,205,4.39,80.79%,01/08/19
NFLX,320.27,Put,312.50,01/11/19,3,3.30,3.45,3.60,3.50,2336,532,4.39,58.62%,01/08/19
CGC,29.64,Put,28.00,01/11/19,3,0.18,0.2,0.22,0.21,596,136,4.38,73.77%,01/08/19
HLT,71.86,Call,75.00,04/18/19,100,2.80,2.95,3.10,2.80,1107,253,4.38,25.80%,01/08/19
VZ,58.38,Call,47.00,01/18/19,10,10.95,11.2,11.45,11.25,3962,905,4.38,0.00%,01/08/19
MS,41.45,Put,37.00,02/15/19,38,0.48,0.51,0.54,0.60,1062,243,4.37,42.85%,01/08/19
GM,34.81,Call,35.50,01/11/19,3,0.38,0.41,0.44,0.42,2257,516,4.37,55.79%,01/08/19
COP,64.32,Put,64.00,01/18/19,10,1.17,1.22,1.26,1.18,509,117,4.35,32.07%,01/08/19
AAPL,150.75,Call,155.00,01/11/19,3,0.49,0.51,0.52,0.50,51190,11832,4.33,34.58%,01/08/19
WFC,47.54,Put,47.50,01/18/19,10,1.08,1.11,1.14,1.34,1576,365,4.32,43.98%,01/08/19
VZ,58.38,Call,45.00,01/18/19,10,12.80,13.18,13.55,13.40,1890,437,4.32,0.00%,01/08/19
QCOM,55.95,Call,55.00,02/15/19,38,3.05,3.1,3.15,3.16,3092,718,4.31,35.93%,01/08/19
SYF,25.42,Call,26.00,01/18/19,10,0.30,0.35,0.40,0.35,7674,1781,4.31,34.63%,01/08/19
SAN,4.81,Put,7.00,03/15/19,66,2.15,2.25,2.35,2.26,4014,933,4.3,74.24%,01/08/19
TLRY,83.26,Call,65.00,01/11/19,3,16.50,17.6,18.70,17.50,781,183,4.27,29.42%,01/08/19
FB,142.53,Put,65.00,02/15/19,38,0.01,0.02,0.02,0.02,600,141,4.26,87.08%,01/08/19
VZ,58.38,Call,60.00,03/15/19,66,1.12,1.16,1.20,1.13,4370,1025,4.26,16.98%,01/08/19
NFLX,320.27,Call,320.00,01/11/19,3,6.55,6.7,6.85,6.55,10740,2567,4.18,55.06%,01/08/19
MA,192.28,Call,192.50,01/11/19,3,1.96,2.13,2.30,2.08,1031,247,4.17,31.12%,01/08/19
VZ,58.38,Call,58.50,01/18/19,10,0.46,0.51,0.56,0.45,1923,461,4.17,12.58%,01/08/19
CCJ,12.01,Call,12.50,01/18/19,10,0.10,0.13,0.15,0.10,635,153,4.15,34.14%,01/08/19
NFLX,320.27,Put,330.00,01/11/19,3,12.00,12.3,12.60,12.20,590,144,4.1,52.92%,01/08/19
T,31.28,Call,95.00,01/18/19,10,3.55,3.7,3.85,3.50,1650,402,4.1,0.00%,01/08/19
ULTA,276,Call,290.00,01/18/19,10,2.00,2.15,2.30,2.04,741,181,4.09,36.55%,01/08/19
VZ,58.38,Call,38.00,01/17/20,374,18.05,20.45,22.85,20.40,1800,440,4.09,0.00%,01/08/19
AAPL,150.75,Put,148.00,01/11/19,3,0.90,0.93,0.96,0.98,9600,2348,4.09,38.57%,01/08/19
MA,192.28,Call,190.00,01/11/19,3,3.45,3.68,3.90,3.70,712,175,4.07,34.09%,01/08/19
T,31.28,Call,65.00,01/18/19,10,33.55,33.7,33.85,33.50,770,190,4.05,0.00%,01/08/19
VZ,58.38,Call,40.00,01/18/19,10,18.05,18.35,18.65,18.40,1820,449,4.05,0.00%,01/08/19
AAPL,150.75,Call,152.50,01/11/19,3,1.18,1.21,1.24,1.21,39093,9655,4.05,35.52%,01/08/19
NVDA,139.83,Call,140.00,01/11/19,3,2.91,2.96,3.00,2.89,7509,1865,4.03,58.45%,01/08/19
STX,39.14,Put,38.50,01/11/19,3,0.33,0.37,0.41,0.31,503,125,4.02,41.14%,01/08/19
WDC,38.11,Call,38.50,01/11/19,3,0.50,0.54,0.57,0.57,1911,476,4.01,53.78%,01/08/19
T,31.28,Put,30.50,01/25/19,17,0.44,0.47,0.50,0.52,740,186,3.98,32.75%,01/08/19
T,31.28,Call,20.00,01/17/20,374,11.15,11.25,11.35,11.25,827,208,3.98,0.00%,01/08/19
NVDA,139.83,Call,141.00,01/11/19,3,2.38,2.46,2.53,2.35,1832,460,3.98,56.77%,01/08/19
BA,340.53,Call,340.00,01/11/19,3,4.80,5.03,5.25,5.00,3399,853,3.98,38.09%,01/08/19
KO,47.48,Call,47.00,01/11/19,3,0.62,0.66,0.70,0.59,1297,327,3.97,16.26%,01/08/19
ATVI,49.97,Call,51.00,01/11/19,3,0.36,0.41,0.45,0.38,530,134,3.96,43.07%,01/08/19
YNDX,29.09,Call,32.00,01/18/19,10,0.00,0.05,0.10,0.09,1850,468,3.95,42.63%,01/08/19
GE,8.56,Call,9.50,02/08/19,31,0.24,0.25,0.26,0.25,3971,1008,3.94,57.34%,01/08/19
T,31.28,Call,70.00,01/18/19,10,28.55,28.7,28.85,28.50,660,168,3.93,0.00%,01/08/19
SQ,63.12,Call,80.00,02/15/19,38,0.50,0.55,0.59,0.56,947,241,3.93,55.25%,01/08/19
AMZN,1656.58,Call,1750.00,01/11/19,3,2.12,2.28,2.44,2.25,3645,930,3.92,42.21%,01/08/19
NFLX,320.27,Put,302.50,01/11/19,3,1.46,1.51,1.55,1.47,1573,402,3.91,63.00%,01/08/19
JD,22.95,Call,26.00,02/15/19,38,0.48,0.5,0.52,0.46,1633,418,3.91,47.79%,01/08/19
BLMN,20.08,Put,20.00,01/18/19,10,0.35,0.48,0.60,0.51,657,169,3.89,42.11%,01/08/19
GOOGL,1085.37,Call,1105.00,01/11/19,3,3.90,4.3,4.70,4.28,613,158,3.88,28.91%,01/08/19
BAC,25.51,Call,24.00,06/21/19,164,2.80,2.84,2.87,2.70,10495,2711,3.87,24.72%,01/08/19
AXP,98.65,Call,110.00,02/15/19,38,0.29,0.38,0.46,0.29,896,233,3.85,23.46%,01/08/19
FB,142.53,Put,142.00,01/18/19,10,2.95,3,3.05,2.97,837,218,3.84,34.97%,01/08/19
CLR,46.9,Call,50.00,03/15/19,66,2.45,2.58,2.70,2.60,1503,391,3.84,47.07%,01/08/19
