Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
BMY,48.41,Call,55.00,04/18/19,101,1.42,1.49,1.55,1.42,629,128,4.91,34.42%,01/07/19
TSLA,334.96,Call,342.50,01/11/19,4,4.55,4.65,4.75,4.72,1274,260,4.9,55.75%,01/07/19
ETSY,51.57,Put,40.00,01/17/20,375,4.90,5.2,5.50,5.00,1500,309,4.85,56.60%,01/07/19
T,30.89,Call,31.50,01/18/19,11,0.13,0.15,0.16,0.17,1740,361,4.82,18.27%,01/07/19
NVDA,143.4,Put,142.00,01/11/19,4,3.10,3.2,3.30,3.15,985,205,4.8,64.29%,01/07/19
CMG,485.15,Put,475.00,01/18/19,11,9.50,9.8,10.10,10.20,665,139,4.78,44.83%,01/07/19
TSLA,334.96,Call,352.50,01/11/19,4,1.95,2.02,2.09,2.14,1024,215,4.76,55.85%,01/07/19
BA,328.11,Call,330.00,01/11/19,4,4.15,4.25,4.35,4.20,3600,756,4.76,36.69%,01/07/19
AAPL,147.93,Put,139.00,01/18/19,11,0.80,0.84,0.87,0.85,1015,214,4.74,37.95%,01/07/19
AMZN,1629.51,Put,1580.00,01/11/19,4,11.85,12.2,12.55,11.80,672,142,4.73,45.54%,01/07/19
TSLA,334.96,Put,327.50,01/11/19,4,4.75,4.88,5.00,4.85,974,206,4.73,58.40%,01/07/19
MU,34,Call,37.00,01/11/19,4,0.06,0.08,0.09,0.09,1932,409,4.72,59.52%,01/07/19
XOM,71.52,Call,72.50,01/11/19,4,0.37,0.39,0.41,0.48,1343,285,4.71,29.15%,01/07/19
AAPL,147.93,Call,142.00,01/11/19,4,6.40,6.58,6.75,6.50,1403,298,4.71,40.09%,01/07/19
MS,41.71,Put,41.00,01/11/19,4,0.36,0.37,0.38,0.34,1668,354,4.71,36.92%,01/07/19
NVDA,143.4,Call,145.00,01/11/19,4,3.10,3.15,3.20,3.15,7532,1599,4.71,64.40%,01/07/19
AMRN,14.07,Call,15.00,01/11/19,4,0.11,0.15,0.19,0.17,1239,264,4.69,82.91%,01/07/19
TSLA,334.96,Call,332.50,01/11/19,4,8.85,9.18,9.50,9.18,1473,314,4.69,56.19%,01/07/19
ANF,20.92,Put,22.00,01/18/19,11,1.50,1.57,1.63,1.59,3266,704,4.64,65.28%,01/07/19
AMZN,1629.51,Put,1500.00,01/11/19,4,2.40,2.56,2.71,2.50,3542,764,4.64,52.76%,01/07/19
AMD,20.57,Call,21.50,01/11/19,4,0.45,0.46,0.47,0.46,8829,1901,4.64,95.95%,01/07/19
GME,15.48,Call,18.00,02/15/19,39,0.38,0.43,0.48,0.47,782,169,4.63,62.70%,01/07/19
TXN,94.5,Call,105.00,02/15/19,39,0.65,0.71,0.77,0.79,1083,234,4.63,30.54%,01/07/19
TEVA,17.67,Call,18.00,01/11/19,4,0.23,0.25,0.26,0.24,1615,349,4.63,51.07%,01/07/19
AMD,20.57,Put,19.00,01/11/19,4,0.27,0.28,0.28,0.28,11387,2462,4.63,102.28%,01/07/19
AMZN,1629.51,Call,1610.00,01/11/19,4,40.05,41.78,43.50,42.48,1759,381,4.62,46.51%,01/07/19
FB,138.05,Call,150.00,01/25/19,18,0.57,0.62,0.66,0.64,5312,1149,4.62,32.04%,01/07/19
AAPL,147.93,Put,146.00,01/11/19,4,1.45,1.5,1.55,1.50,6824,1478,4.62,38.43%,01/07/19
TWLO,96.98,Call,95.00,01/11/19,4,4.00,4.23,4.45,4.50,539,117,4.61,84.86%,01/07/19
